State,State_Code,District,Market,Commodity,Commodity_Code,Arrivals,Date
Karnataka,KK,Bangalore,Bangalore,Ragi,30,20,01-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,39,01-Jan-2013
Karnataka,KK,Davangere,Harappana Halli,Ragi,30,12,01-Jan-2013
Karnataka,KK,Kolar,Chickkaballapura,Ragi,30,3,01-Jan-2013
Karnataka,KK,Mandya,Nagamangala,Ragi,30,15,01-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,11,02-Jan-2013
Karnataka,KK,Chikmagalur,Chikkamagalore,Ragi,30,5,02-Jan-2013
Karnataka,KK,Chitradurga,Hosadurga,Ragi,30,12,02-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,15,02-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,1,02-Jan-2013
Karnataka,KK,Mandya,Nagamangala,Ragi,30,94,02-Jan-2013
Karnataka,KK,Mysore,Hunsur,Ragi,30,1,02-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,29,03-Jan-2013
Karnataka,KK,Chamrajnagar,Gundlupet,Ragi,30,4,03-Jan-2013
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,10,03-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,46,03-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,1,03-Jan-2013
Karnataka,KK,Tumkur,Gubbi,Ragi,30,3,03-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,20,04-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Ragi,30,2,04-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,38,04-Jan-2013
Karnataka,KK,Kolar,Chintamani,Ragi,30,17,04-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,7,04-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,12,05-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Ragi,30,3,05-Jan-2013
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,3,05-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,20,05-Jan-2013
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,3,06-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,19,07-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,11,07-Jan-2013
Karnataka,KK,Kolar,Chintamani,Ragi,30,45,07-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,3,07-Jan-2013
Karnataka,KK,Tumkur,Gubbi,Ragi,30,1,07-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,10,08-Jan-2013
Karnataka,KK,Davangere,Harappana Halli,Ragi,30,9,08-Jan-2013
Karnataka,KK,Kolar,Mulabagilu,Ragi,30,6,08-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,2,08-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,35,09-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Ragi,30,2,09-Jan-2013
Karnataka,KK,Chikmagalur,Chikkamagalore,Ragi,30,6,09-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,28,09-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,10,09-Jan-2013
Karnataka,KK,Mandya,Nagamangala,Ragi,30,76,09-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,21,10-Jan-2013
Karnataka,KK,Bangalore,Kanakapura,Ragi,30,4,10-Jan-2013
Karnataka,KK,Chamrajnagar,Kollegal,Ragi,30,1,10-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,10,10-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,16,10-Jan-2013
Karnataka,KK,Hassan,Belur,Ragi,30,13,10-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,1,10-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,2,10-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,1,10-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,18,11-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,59,11-Jan-2013
Karnataka,KK,Chitradurga,Hosadurga,Ragi,30,14,11-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,25,11-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,12,11-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,18,11-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,4,11-Jan-2013
Karnataka,KK,Bellary,H.B. Halli,Ragi,30,3,13-Jan-2013
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,1,13-Jan-2013
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,5,13-Jan-2013
Karnataka,KK,Kolar,Chintamani,Ragi,30,54,14-Jan-2013
Karnataka,KK,Tumkur,Gubbi,Ragi,30,9,14-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,1,14-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,42,15-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,1,15-Jan-2013
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,5,15-Jan-2013
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,5,15-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Ragi,30,1,15-Jan-2013
Karnataka,KK,Tumkur,Kunigal,Ragi,30,75,15-Jan-2013
Karnataka,KK,Tumkur,Madhugiri,Ragi,30,1,15-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,33,16-Jan-2013
Karnataka,KK,Bangalore,Doddaballa Pur,Ragi,30,7,16-Jan-2013
Karnataka,KK,Chikmagalur,Chikkamagalore,Ragi,30,7,16-Jan-2013
Karnataka,KK,Davangere,Harappana Halli,Ragi,30,18,16-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,12,16-Jan-2013
Karnataka,KK,Hassan,Holenarsipura,Ragi,30,1,16-Jan-2013
Karnataka,KK,Kolar,Mulabagilu,Ragi,30,6,16-Jan-2013
Karnataka,KK,Mandya,Nagamangala,Ragi,30,58,16-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,7,16-Jan-2013
Karnataka,KK,Tumkur,Kunigal,Ragi,30,16,16-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,51,17-Jan-2013
Karnataka,KK,Chikmagalur,Moodigere,Ragi,30,6,17-Jan-2013
Karnataka,KK,Davangere,Harappana Halli,Ragi,30,12,17-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,32,17-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,3,17-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,16,18-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,10,18-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,9,18-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Ragi,30,30,18-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,10,18-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,24,19-Jan-2013
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,5,19-Jan-2013
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,14,19-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,1,19-Jan-2013
Karnataka,KK,Chikmagalur,Koppa,Ragi,30,5,20-Jan-2013
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,2,20-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,40,21-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,16,21-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,9,21-Jan-2013
Karnataka,KK,Kolar,Chintamani,Ragi,30,73,21-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,2,21-Jan-2013
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,5,21-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Ragi,30,1,21-Jan-2013
Karnataka,KK,Tumkur,Gubbi,Ragi,30,9,21-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,25,22-Jan-2013
Karnataka,KK,Bellary,H.B. Halli,Ragi,30,4,22-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,3,22-Jan-2013
Karnataka,KK,Mysore,Hunsur,Ragi,30,22,22-Jan-2013
Karnataka,KK,Shimoga,Bhadravathi,Ragi,30,10,22-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Ragi,30,2,22-Jan-2013
Karnataka,KK,Tumkur,Gubbi,Ragi,30,12,22-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,1,22-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,38,23-Jan-2013
Karnataka,KK,Chamrajnagar,Chamaraj Nagar,Ragi,30,1,23-Jan-2013
Karnataka,KK,Chikmagalur,Chikkamagalore,Ragi,30,3,23-Jan-2013
Karnataka,KK,Davangere,Harappana Halli,Ragi,30,10,23-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,10,23-Jan-2013
Karnataka,KK,Mandya,Nagamangala,Ragi,30,51,23-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,2,23-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,18,24-Jan-2013
Karnataka,KK,Bangalore,Doddaballa Pur,Ragi,30,7,24-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,10,24-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,12,24-Jan-2013
Karnataka,KK,Hassan,Belur,Ragi,30,42,24-Jan-2013
Karnataka,KK,Mysore,Mysore (Bandipalya),Ragi,30,7,24-Jan-2013
Karnataka,KK,Shimoga,Shimoga,Ragi,30,12,24-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,2,24-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,32,28-Jan-2013
Karnataka,KK,Chamrajnagar,Gundlupet,Ragi,30,2,28-Jan-2013
Karnataka,KK,Chikmagalur,Kadur,Ragi,30,12,28-Jan-2013
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,5,28-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,62,28-Jan-2013
Karnataka,KK,Hassan,Channarayapatna,Ragi,30,5,28-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,17,28-Jan-2013
Karnataka,KK,Kolar,Chintamani,Ragi,30,43,28-Jan-2013
Karnataka,KK,Tumkur,Gubbi,Ragi,30,4,28-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,59,29-Jan-2013
Karnataka,KK,Chikmagalur,Tarikere,Ragi,30,22,29-Jan-2013
Karnataka,KK,Chitradurga,Hosadurga,Ragi,30,13,29-Jan-2013
Karnataka,KK,Davangere,Harappana Halli,Ragi,30,13,29-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,26,29-Jan-2013
Karnataka,KK,Tumkur,Kunigal,Ragi,30,5,29-Jan-2013
Karnataka,KK,Tumkur,Tumkur,Ragi,30,3,29-Jan-2013
Karnataka,KK,Bangalore,Bangalore,Ragi,30,30,30-Jan-2013
Karnataka,KK,Chikmagalur,Chikkamagalore,Ragi,30,2,30-Jan-2013
Karnataka,KK,Hassan,Arasikere,Ragi,30,22,30-Jan-2013
Karnataka,KK,Hassan,Hassan,Ragi,30,10,30-Jan-2013
Karnataka,KK,Mandya,Nagamangala,Ragi,30,144,30-Jan-2013
Karnataka,KK,Mysore,Piriya Pattana,Ragi,30,7,30-Jan-2013
